removal_reason,matched_obituaries,total_obituaries_found
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
Empty name fields,[],
